PARENT DATA SET,PARENTHOST,PARENTDATABASE,PARENTSCHEMA,PRIMARY KEY,COLUMNS,CHILD DATA SET,CHILDHOST,CHILDDATABASE,CHILDSCHEMA,FOREIGN KEY,PARENT TO CHILD,CHILD TO PARENT,CONFIDENCE,STATUS,LAST MODIFIED
BANK_CUSTOMERS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,NAME,1,BANK_CUSTOMERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,NAME,100.0% (3007 / 3007),100.0% (3007 / 3007),98%,Candidate,2020-07-07 15:20 GMT
BANK_CUSTOMERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,CUSTOMER_ID,1,ACCOUNT_HOLDERS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_HOLDER_ID,97.7386099102095% (2939 / 3007),99.96598639455782% (2939 / 2940),98%,Candidate,2020-07-06 18:51 GMT
BANK_CUSTOMERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,CUSTOMER_ID,1,SAVINGS_ACCOUNTS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_HOLDER_ID,73.52843365480545% (2211 / 3007),99.95479204339964% (2211 / 2212),86%,Candidate,2020-07-06 18:51 GMT
BANK_CUSTOMERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,CUSTOMER_ID,1,BANK_ACCOUNTS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,CUSTOMER_ID,100.0% (3007 / 3007),99.9433588218635% (3529 / 3531),99%,Candidate,2020-07-06 18:51 GMT
BANK_CUSTOMERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,CUSTOMER_ID,1,ACCOUNT_HOLDERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_HOLDER_ID,97.7386099102095% (2939 / 3007),99.96598639455782% (2939 / 2940),98%,Candidate,2020-07-07 16:25 GMT
BANK_CUSTOMERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,CUSTOMER_ID,1,SAVINGS_ACCOUNTS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_HOLDER_ID,73.52843365480545% (2211 / 3007),99.95479204339964% (2211 / 2212),86%,Candidate,2020-07-06 18:50 GMT
BANK_CUSTOMERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,CUSTOMER_ID,1,BANK_CUSTOMERS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,CUSTOMER_ID,100.0% (3007 / 3007),100.0% (3007 / 3007),100%,Candidate,2020-07-06 18:50 GMT
BANK_CUSTOMERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,NAME,1,BANK_CUSTOMERS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,NAME,100.0% (3007 / 3007),100.0% (3007 / 3007),98%,Candidate,2020-07-07 15:20 GMT
ACCOUNT_HOLDERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_HOLDER_ID,1,ACCOUNT_HOLDERS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_HOLDER_ID,100.0% (2940 / 2940),100.0% (2940 / 2940),100%,Candidate,2020-07-06 18:51 GMT
ACCOUNT_HOLDERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_HOLDER_ID,1,SAVINGS_ACCOUNTS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_HOLDER_ID,75.20408163265306% (2211 / 2940),99.95479204339964% (2211 / 2212),87%,Candidate,2020-07-06 18:51 GMT
ACCOUNT_HOLDERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_HOLDER_ID,1,SAVINGS_ACCOUNTS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_HOLDER_ID,75.20408163265306% (2211 / 2940),99.95479204339964% (2211 / 2212),87%,Candidate,2020-07-06 18:51 GMT
BANK_ACCOUNTS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,1,BANK_ACCOUNTS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,100.0% (3531 / 3531),100.0% (3531 / 3531),100%,Candidate,2020-07-06 18:51 GMT
BANK_CLIENTS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,1,BANK_CLIENTS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,100.0% (5111 / 5111),100.0% (5111 / 5111),99%,Candidate,2020-07-07 15:20 GMT
BANK_ACCOUNTS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,1,BANK_ACCOUNTS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,100.0% (3531 / 3531),100.0% (3531 / 3531),100%,Candidate,2020-07-06 18:51 GMT
BANK_ACCOUNTS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,1,SAVINGS_ACCOUNTS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,62.64514301897479% (2212 / 3531),100.0% (2212 / 2212),81%,Candidate,2020-07-06 18:51 GMT
BANK_ACCOUNTS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,1,SAVINGS_ACCOUNTS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,62.64514301897479% (2212 / 3531),100.0% (2212 / 2212),81%,Candidate,2020-07-06 18:51 GMT
BANK_CLIENTS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,1,BANK_CLIENTS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,100.0% (5111 / 5111),100.0% (5111 / 5111),99%,Candidate,2020-07-07 15:20 GMT
BANK_CLIENTS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,1,SAVINGS_ACCOUNTS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,43.259636079045194% (2211 / 5111),99.95479204339964% (2211 / 2212),70%,Candidate,2020-07-06 18:51 GMT
BANK_CLIENTS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,1,SAVINGS_ACCOUNTS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,43.259636079045194% (2211 / 5111),99.95479204339964% (2211 / 2212),70%,Candidate,2020-07-06 18:51 GMT
ACCOUNT_HOLDERS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_HOLDER_ID,1,ACCOUNT_HOLDERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_HOLDER_ID,100.0% (2940 / 2940),100.0% (2940 / 2940),100%,Candidate,2020-07-06 18:51 GMT
ACCOUNT_HOLDERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,NAME,1,ACCOUNT_HOLDERS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,NAME,100.0% (2940 / 2940),100.0% (2940 / 2940),98%,Candidate,2020-07-07 15:20 GMT
ACCOUNT_HOLDERS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,NAME,1,ACCOUNT_HOLDERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,NAME,100.0% (2940 / 2940),100.0% (2940 / 2940),98%,Candidate,2020-07-07 15:20 GMT
BANK_CUSTOMERS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,CUSTOMER_ID,1,ACCOUNT_HOLDERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_HOLDER_ID,97.7386099102095% (2939 / 3007),99.96598639455782% (2939 / 2940),98%,Candidate,2020-07-06 18:51 GMT
BANK_CUSTOMERS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,CUSTOMER_ID,1,BANK_CUSTOMERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,CUSTOMER_ID,100.0% (3007 / 3007),100.0% (3007 / 3007),100%,Candidate,2020-07-06 18:51 GMT
BANK_ACCOUNTS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,1,CHECKING_ACCOUNTS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,62.24865477201926% (2198 / 3531),100.0% (2198 / 2198),81%,Candidate,2020-07-06 18:52 GMT
BANK_CLIENTS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,1,CHECKING_ACCOUNTS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_ID,43.00528272353747% (2198 / 5111),99.95450409463149% (2197 / 2198),70%,Candidate,2020-07-06 18:52 GMT
BANK_CUSTOMERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,CUSTOMER_ID,1,CHECKING_ACCOUNTS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_HOLDER_ID,73.06285334220154% (2197 / 3007),99.95450409463149% (2197 / 2198),86%,Candidate,2020-07-06 18:52 GMT
ACCOUNT_HOLDERS-1,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_HOLDER_ID,1,CHECKING_ACCOUNTS-2,jdbc:db2://dv-server.cp4d.svc.cluster.local:32051/bigsql,BIGSQL,USER999,ACCOUNT_HOLDER_ID,74.72789115646259% (2197 / 2940),99.95450409463149% (2197 / 2198),87%,Candidate,2020-07-06 18:52 GMT